"id";"time";"attrstring";"value"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 00:39:03+07";"";"44.8"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 00:40:00+07";"";"0.015"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 00:40:00+07";"";"1.212"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 00:40:01+07";"";"44.8"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 00:41:00+07";"";"44.7"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 00:41:00+07";"";"0.016"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 00:41:00+07";"";"1.196"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 00:41:58+07";"";"44.7"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 00:42:00+07";"";"0.017"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 00:42:00+07";"";"1.213"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 00:42:57+07";"";"44.8"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 00:43:00+07";"";"0.017"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 00:43:00+07";"";"1.213"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 00:43:55+07";"";"44.8"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 00:44:00+07";"";"0.016"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 00:44:00+07";"";"1.211"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 00:44:54+07";"";"44.8"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 00:45:00+07";"";"0.016"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 00:45:00+07";"";"1.196"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 00:45:52+07";"";"44.8"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 00:46:00+07";"";"0.016"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 00:46:00+07";"";"1.215"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 00:46:51+07";"";"44.7"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 00:47:00+07";"";"0.017"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 00:47:00+07";"";"1.214"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 00:47:50+07";"";"44.7"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 00:48:00+07";"";"0.017"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 00:48:00+07";"";"1.214"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 00:48:48+07";"";"44.8"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 00:49:00+07";"";"0.016"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 00:49:00+07";"";"1.196"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 00:49:47+07";"";"44.7"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 00:50:00+07";"";"0.014"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 00:50:00+07";"";"1.213"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 00:50:46+07";"";"44.8"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 00:51:00+07";"";"0.015"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 00:51:00+07";"";"1.213"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 00:51:44+07";"";"44.8"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 00:52:00+07";"";"0.016"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 00:52:00+07";"";"1.214"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 00:52:43+07";"";"44.8"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 00:53:00+07";"";"0.017"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 00:53:00+07";"";"1.198"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 00:53:42+07";"";"44.7"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 00:54:00+07";"";"0.017"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 00:54:00+07";"";"1.212"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 00:54:40+07";"";"44.7"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 00:55:39+07";"";"44.7"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 00:56:00+07";"";"0.015"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 00:56:00+07";"";"1.215"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 00:56:37+07";"";"44.7"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 00:57:00+07";"";"0.016"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 00:57:00+07";"";"1.198"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 00:57:35+07";"";"44.7"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 00:58:00+07";"";"0.017"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 00:58:00+07";"";"1.216"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 00:58:34+07";"";"44.6"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 00:59:00+07";"";"0.017"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 00:59:00+07";"";"1.213"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 00:59:33+07";"";"44.7"
